	model_id	variable	relative_importance	scaled_importance	percentage
43	XGBoost_1_AutoML_20190415_220045	floor	8.81025297275515e+19	0.13236987439152215	0.03241880311063682
44	XGBoost_1_AutoML_20190415_220045	heat_type_district	8.304724794192114e+19	0.12477455315560561	0.03055862741098392
45	XGBoost_1_AutoML_20190415_220045	heat_fuel_cogeneration	6.282620876032993e+19	0.09439340036906728	0.023117956979071486
46	XGBoost_1_AutoML_20190415_220045	heat_type_individual	4.833333928642845e+19	0.07261855102290674	0.01778506264067383
47	XGBoost_1_AutoML_20190415_220045	bathroom_count	3.917963670435607e+19	0.05886554682707652	0.014416804286921568
48	XGBoost_1_AutoML_20190415_220045	heat_fuel_gas	2.137581666182575e+19	0.03211615120805359	0.007865590168997046
49	XGBoost_1_AutoML_20190415_220045	room_count	2.089374238569713e+19	0.03139185746103109	0.007688202855705981
50	XGBoost_1_AutoML_20190415_220045	front_door_structure_stairway	1.2174809790991565e+19	0.018292074560831293	0.004479925408999695
51	XGBoost_1_AutoML_20190415_220045	front_door_structure_corridor	1.2041720505519047e+19	0.018092114218542215	0.004430952974777757
52	XGBoost_1_AutoML_20190415_220045	front_door_structure_mixed	8.302938417650467e+18	0.012474771369490396	0.003055205413896049
53	XGBoost_1_AutoML_20190415_220045	heat_type_central	8.023568455951188e+18	0.012055031245645423	0.0029524065520317817
54	XGBoost_1_AutoML_20190415_220145	exclusive_use_area	6.332882279327471e+20	1.0	0.23090731334054496
55	XGBoost_1_AutoML_20190415_220145	supply_area	5.8009684605257174e+20	0.9160076257002142	0.211512859849888
56	XGBoost_1_AutoML_20190415_220145	city	4.110613412823821e+20	0.6490904506850163	0.1498797320826806
57	XGBoost_1_AutoML_20190415_220145	total_parking_capacity_in_site	1.754171406265457e+20	0.27699415983013403	0.06395997725739776
58	XGBoost_1_AutoML_20190415_220145	total_household_count_in_sites	1.6378151044709456e+20	0.2586208036453309	0.05971743494371598
59	XGBoost_1_AutoML_20190415_220145	apartment_building_count_in_sites	1.6015859324529358e+20	0.2529000006333638	0.05839645969007215
60	XGBoost_1_AutoML_20190415_220145	floor	1.0196263905576092e+20	0.16100510724571526	0.03717725674821442
61	XGBoost_1_AutoML_20190415_220145	total_household_count_of_area_type	1.00152200801651e+20	0.1581463169283589	0.03651714115662969
62	XGBoost_1_AutoML_20190415_220145	heat_fuel_cogeneration	8.188806361908249e+19	0.1293061516181834	0.02985773606855989
63	XGBoost_1_AutoML_20190415_220145	bathroom_count	7.597291096397316e+19	0.11996577168657115	0.027700974032971358
64	XGBoost_1_AutoML_20190415_220145	heat_type_individual	7.010001034169601e+19	0.11069211024263723	0.02555961778412278
65	XGBoost_1_AutoML_20190415_220145	heat_fuel_gas	6.200651844377641e+19	0.09791200232188949	0.0226085973999407
66	XGBoost_1_AutoML_20190415_220145	room_count	5.528618902560021e+19	0.0873002001096275	0.020158254661406035
67	XGBoost_1_AutoML_20190415_220145	heat_type_district	3.207551835445815e+19	0.0506491624819283	0.011695262031650791
68	XGBoost_1_AutoML_20190415_220145	front_door_structure_stairway	1.6103149332756169e+19	0.025427836208675374	0.005871473343008659
69	XGBoost_1_AutoML_20190415_220145	front_door_structure_corridor	1.0288708644216242e+19	0.016246486497628165	0.0037514325483907593
70	XGBoost_1_AutoML_20190415_220145	heat_type_central	8.787238105313706e+18	0.01387557468737107	0.003203971672116926
71	XGBoost_1_AutoML_20190415_220145	front_door_structure_mixed	4.1811205635251896e+18	0.00660223951607894	0.0015245053886885677
72	GBM_grid_1_AutoML_20190415_201144_model_3	supply_area	7.068391170908692e+20	1.0	0.316108976311402
73	GBM_grid_1_AutoML_20190415_201144_model_3	city	4.0054659723675094e+20	0.5666729352575685	0.17913040146764733
74	GBM_grid_1_AutoML_20190415_201144_model_3	exclusive_use_area	3.4086295983437224e+20	0.4822355633588285	0.15243899027431151
75	GBM_grid_1_AutoML_20190415_201144_model_3	apartment_building_count_in_sites	1.3766996526304225e+20	0.19476845852794503	0.061568058043018466
76	GBM_grid_1_AutoML_20190415_201144_model_3	total_parking_capacity_in_site	1.260950896980955e+20	0.17839291381759376	0.056391601368087726
77	GBM_grid_1_AutoML_20190415_201144_model_3	heat_fuel_gas	1.051026947311078e+20	0.14869394207224682	0.04700348981216485
78	GBM_grid_1_AutoML_20190415_201144_model_3	floor	9.007452582220032e+19	0.12743285373469307	0.04028266894251445
79	GBM_grid_1_AutoML_20190415_201144_model_3	total_household_count_in_sites	8.0557839267427e+19	0.11396913006028599	0.03602666503445804
80	GBM_grid_1_AutoML_20190415_201144_model_3	total_household_count_of_area_type	6.830770523335138e+19	0.0966382640430042	0.030548222719145025
81	GBM_grid_1_AutoML_20190415_201144_model_3	heat_type_district	4.1119082856776204e+19	0.05817318518817918	0.018389066018608936
82	GBM_grid_1_AutoML_20190415_201144_model_3	heat_fuel_cogeneration	4.0739711762774884e+19	0.057636470276923715	0.018219405617440905
83	GBM_grid_1_AutoML_20190415_201144_model_3	heat_type_individual	2.681387582848028e+19	0.037934906515697496	0.01199156446514587
84	GBM_grid_1_AutoML_20190415_201144_model_3	bathroom_count	2.1424366697261826e+19	0.03031010335907537	0.009581295744730104
85	GBM_grid_1_AutoML_20190415_201144_model_3	room_count	1.659422641009302e+19	0.023476666767382248	0.007421185099041114
86	GBM_grid_1_AutoML_20190415_201144_model_3	front_door_structure_stairway	1.2998376985544622e+19	0.018389442054426636	0.005813067702762649
87	GBM_grid_1_AutoML_20190415_201144_model_3	front_door_structure_mixed	7.845842846681661e+18	0.011099899053369767	0.0035087777269206177
88	GBM_grid_1_AutoML_20190415_201144_model_3	heat_type_central	7.645418369612513e+18	0.01081634870616483	0.0034191449169329218
